producto_id;pais_edicion_id;issn;eissn;pagina_inicial;pagina_final;revista;volumen;numero;tomo;doi;editorial;revista_sjr
55307;35;02132397;;85;107;MANUSCRITS. REVISTA D?HISTÒRIA MODERNA;;32;;;UNIVERSIDAD AUTÓNOMA DE BARCELONA;NO INDEXADO
55308;4;01222066;;39;57;ANUARIO DE HISTORIA REGIONAL Y DE LAS FRONTERAS;19;1;;;UNIVERSIDAD INDUSTRIAL DE SANTANDER;NO INDEXADO
55309;1;1515 3738;;;;REVISTA CULTURAS. DEBATES Y PERSPECTIVAS DE UN MUNDO EN CAMBIO;;8;;;EDICIONES UNL;NO INDEXADO
55310;3;1519-3276;;;;OPSIS;14;2;;;UFG;NO INDEXADO
55311;5;15187942;;40;50;REVISTA LOGOS;;24;;;LOGOD;NO INDEXADO
55312;1;0329-5184;;;;AVANCES EN ENERGIAS RENOVABLES Y MEDIO AMBIENTE;I;;;;ASOCIACIÓN ARGENTINA DE ENERGÍA SOLAR;NO INDEXADO
55313;1;0329-5184;;;;AVANCES EN ENERGIAS RENOVABLES Y MEDIO AMBIENTE;I;;;;ASOCIACIÓN ARGENTINA DE ENERGÍA SOLAR;NO INDEXADO
55314;1;0329-5184;;;;AVANCES EN ENERGIAS RENOVABLES Y MEDIO AMBIENTE;I;;;;ASOCIACIÓN ARGENTINA DE ENERGÍA SOLAR;NO INDEXADO
55315;6;;;71;81;REVISTA PATRIMONIUM. REVISTA DIGITAL N° 5;5;;;;UTE;NO INDEXADO
55316;1;18514464;;;;APORTES CIENTÍFICOS DESDE HUMANIDADES 10;;;;;ECU - EDITORIAL CIENTÍFICA UNIVERSITARIA - UNCA;NO INDEXADO
55317;1;18514464;;;;APORTES CIENTÍFICOS DESDE HUMANIDADES 10;;;;;ECU - EDITORIAL CIENTÍFICA UNIVERSITARIA - UNCA;NO INDEXADO
55318;1;15142280;;8;11;PATAGONIA FORESTAL;XX;1;;;CENTRO DE INVESTIGACIÓN Y EXTENSIÓN FORESTAL ANDINO PATAGÓNICA;NO INDEXADO
55319;21;1550-7998;;;;PHYSICAL REVIEW D;91;;;10.1103/PhysRevD.91.105020;AMER PHYSICAL SOC;NO INDEXADO
55320;7;2007-3364;;111;151;THERYA;5;1;;;AMMAC;NO INDEXADO
